Television,Channel,2017-2018,2018-2019,2019-2020
1.0,& PICTURES,21611,8344847,0
2.0,& TV,6042,0,0
3.0,10 TV,128226,3176139,0
4.0,24 Ghanta,9110505,15058131,3732472
5.0,4TV News,2425212,0,0
6.0,9 X M,7014303,20984221,3917073
7.0,9X JALWA,527413,1297871,0
8.0,9X JHAKAAS,873087,1763628,0
9.0,9X O,121762,617476,369399
10.0,9X TASHAN,1225200,3846208,397931
11.0,AAJTAK,37373335,53471812,35712341
12.0,AALAMI SAHARA,2358951,485292,192541
13.0,ABN ANDHRAJYOTHY,12103175,4006203,0
14.0,ABP ANANDA,4459769,5274491,4551771
15.0,ABP Asmita,0,527425,3445927
16.0,ABP Ganga,0,0,979653
17.0,ABP MAJHA,14900005,8487018,4983177
18.0,ABP NEWS,28876428,39434316,31051228
19.0,Akash Bangla,7893246,7965625,0
20.0,ALANKAR TV,958135,4160243,0
21.0,Amrita TV,0,233882,0
22.0,ANIMAL PLANET,727871,3101756,1019145
23.0,ANIMAL PLANET HD,0,35492,0
24.0,ANJAN TV,6142928,6541983,348421
25.0,ASIANET,2608055,11876842,531042
26.0,Asianet News,20083081,22418802,2807434
27.0,ASIANET PLUS,0,2641082,0
28.0,ASSAM TALKS 24X7,7348614,9071264,529485
29.0,AWAAZ,2748622,4621713,1753766
30.0,Axis Press Network,9388448,3612046,0
31.0,AXN,180815,0,0
32.0,Ayush TV,0,13918,0
33.0,B4U Kadak,449184,5952217,689323
34.0,B4U MOVIES,17419305,53140764,9971852
35.0,B4U Music,8837272,34026672,8414290
36.0,Bakthi TV,3504242,911111,0
37.0,Bale Bale Non Stop Music,0,0,175676
38.0,BANSAL NEWS,7230016,10631197,2176453
39.0,Bharat Samachar,0,670388,0
40.0,BHOJPURI CINEMA,12574530,22223364,151314
41.0,Bhojpuri Dhamaka DISHUM,0,0,546534
42.0,BIG MAGIC,0,7176119,0
43.0,Bindass,154941,0,0
44.0,BTVi,1490984,9923297,240649
45.0,BULAND NEWS SAMACHAR PLUS,13531837,5675787,518048
46.0,CAPTAIN TV,0,1620126,2916214
47.0,CARE WORLD TV,1086851,0,0
48.0,CARTOON NETWORK,1794794,2780590,0
49.0,CHANNEL 2,200102,0,0
50.0,CHANNEL V,181746,0,0
51.0,Chardikla Time TV,19320190,25384185,4895480
53.0,CHUTTI TV,0,148435,0
54.0,CNBC BAZAAR,1291680,3640804,0
55.0,CNBC TV 18,1393087,3948331,1511545
56.0,CNN NEWS 18,5829786,5415586,4323407
57.0,Colors,36824929,57816163,48456883
58.0,COLORS BANGLA,71600,7423465,1797138
59.0,COLORS GUJARATI,1667823,3135018,835040
60.0,COLORS KANNADA,1668849,19000449,781710
61.0,COLORS MARATHI,2378036,11275697,4363928
62.0,COLORS ORIYA,46813,3682722,0
63.0,CVR Health,17332,0,0
64.0,CVR News,63295,162185,0
65.0,DABANGG,9890724,9588682,1289565
66.0,DANGAL,25650861,45749132,12041760
67.0,DHAMAAL,2442483,0,0
68.0,DHOOM MUSIC,0,723016,0
69.0,Dilli Aaj Tak,897458,2725937,1272520
70.0,DISCOVERY,1719015,8515968,1133988
71.0,DISCOVERY KIDS,0,690852,0
72.0,DISCOVERY SCIENCE,99002,88989,0
73.0,DISCOVERY TRAVEL & LIVING,0,158252,0
74.0,DISNEY CHANNEL,296779,0,0
75.0,DIVYA,863783,0,0
76.0,DY 365,10620115,12508624,250604
77.0,E - 24,458451,3544281,274251
78.0,ENTER 10 TELEVISION,13778493,34789435,7456359
79.0,EPIC,0,0,645580
80.0,ET NOW,2114165,852036,0
81.0,ETC - HINDI,0,2941977,0
82.0,ETV  TELUGU,41367913,48248573,2460049
83.0,ETV ABHIRUCHI,260494,491494,0
84.0,ETV Andhra Pradesh,15148209,5872329,0
85.0,ETV CINEMA,3129381,2537500,0
86.0,ETV LIFE,845833,1381392,0
87.0,ETV PLUS,728245,3955242,0
88.0,ETV Telangana,7054608,11282869,1758484
89.0,FAKT MARATHI,7935624,8469222,109046
90.0,FILMY,461238,222454,0
91.0,First India Rajasthan,0,1758881,2188601
92.0,FLOWER TV,2896886,10791685,1806324
93.0,GEMINI MOVIES,2624577,7323852,0
94.0,GEMINI MUSIC,1032802,2489329,0
95.0,GEMINI NEWS,78885,1296605,0
96.0,GEMINI TV,25386002,20013960,0
97.0,GOODTIMES,60548,0,0
98.0,Gulistan TV,222566,4394772,3872951
99.0,Hindi Khabar,0,1051444,0
100.0,History TV 18,0,2119970,2852189
101.0,HM TV,3748805,1070389,0
102.0,Housefull Movies,3863514,8022028,777830
103.0,i News,0,835258,0
104.0,IBC 24,13668520,13310943,2227832
106.0,India News,39898266,61181728,8926738
107.0,INDIA NEWS HARYANA,9047320,8180392,1990516
108.0,INDIA NEWS MP/CG,6748258,4989760,523237
109.0,India News Punjab,0,311898,1277477
110.0,INDIA NEWS RAJASTHAN,10457901,12646707,2085324
111.0,INDIA NEWS UTTAR PRADESH AND UTTRAKHAND,7949821,3687433,807216
112.0,INDIA TODAY,6047357,6189465,3692297
113.0,INDIA TV,19854531,28052876,22763179
114.0,INDIA TV,0,536532,0
115.0,INDIA VOICE,0,184030,0
116.0,Isaiaruyi,0,1783397,0
117.0,Jai Maharastra,0,1328302,0
118.0,JAINTV,303436,0,0
119.0,JAN TV,2251199,0,223615
120.0,JANAM TV,0,2644137,578842
121.0,JANASRIKANNADA,921975,0,0
122.0,janta tv,10904428,13181076,2565480
123.0,JAYAPLUS,60175,0,0
124.0,JK Channel,10216261,11875934,4303813
125.0,Jonack,8614334,4536339,645219
126.0,K News India,8750688,890352,173394
127.0,K TV,1901810,2412280,0
128.0,Kairali,1343939,1915273,323156
129.0,Kairali News,493521,4764650,0
130.0,Kalaignar TV,878510,4654755,0
131.0,KALINGA TV,7460647,4894838,411684
132.0,KANAK TV,6212778,16526511,2889088
133.0,KAPPA TV,305714,475666,0
134.0,KASHISHNEWS,7049891,5880128,145459
135.0,KHABAR FAST,0,1039433,1156355
136.0,Khushboo Bangla,0,0,125911
137.0,KOCHU TV,0,129252,0
138.0,KOLKATA TV,11868019,11413509,16918
139.0,KUSHI TV,0,145716,0
140.0,Living India News,11719457,8793427,1936738
141.0,LOKSABHA TV,7271220,3049321,0
142.0,MAA GOLD,71536,871490,0
143.0,MAA MOVIES,0,2198482,0
144.0,MAA MUSIC,0,490320,459421
145.0,MAA TV,743952,29211542,1483579
146.0,MAHA MOVIES,12680533,23334069,2971908
147.0,MAI BOLI,6850856,5620375,0
148.0,Makkal TV,2672778,1756090,616456
149.0,Manorama News,14678263,19873580,2370646
150.0,MANORANJAN MOVIE,3601128,8184888,123872
151.0,Manoranjan TV,3733120,8607670,1053865
152.0,Mantavya News,0,0,501781
153.0,MASTIII,8179633,24609258,4505146
154.0,MATHRUBHUMI NEWS,6146194,11502318,809622
155.0,MAZHAVIL MANORAMA,6800567,7300098,0
156.0,MBC TV,0,4121333,0
157.0,MEDIA ONE,1071759,4951022,0
159.0,MEGA MUSIQ,0,598349,0
160.0,Mega TV,127770,975748,0
161.0,MH One,85391,7088164,1442486
162.0,MH One Prime,1521390,11762824,2721920
163.0,MK TV,85532,709125,0
164.0,MOON TV,403617,798832,0
165.0,Movies Now,141278,381971,491281
166.0,MTV,220803,811991,0
167.0,MUNSIF TV,1484648,331110,0
168.0,Music F Fatfati,751616,1151941,0
169.0,MUSIC INDIA,293829,224317,0
170.0,N TV,21340523,38155643,1589025
171.0,NDTV 24X7,79438,1105861,1597354
172.0,NDTV India,155222,0,0
173.0,NDTV PROFIT,76974,0,0
174.0,News 1 India,0,0,217158
175.0,News 18  Assam / North East (News),0,615535,720726
176.0,News 18 Bangla,4719269,15519452,1468076
177.0,News 18 Bihar/Jharkhand,5096290,16744005,2546567
178.0,News 18 Gujarati,4806194,13154546,881425
179.0,News 18 India,23073360,35265402,27465253
180.0,News 18 Kannada,3663933,15280873,873585
181.0,News 18 Kerala (News),0,222595,30586
182.0,News 18 Lokmat,13957508,21400797,2632167
183.0,News 18 MP/Chhattisgarh,4883977,14846684,2469662
184.0,News 18 Odia,2190866,11100634,1017021
185.0,News 18 Punjab/Haryana/Himachal Pradesh,3829868,12627154,1034593
186.0,News 18 Rajasthan,6757811,16654423,4202814
187.0,News 18 Tamil Nadu (News),0,562664,315775
188.0,News 18 UP/Uttarakhand,5019566,16356140,3270054
189.0,News 18 Urdu,1638198,12198821,2024363
190.0,News 24,29087885,16323266,8668115
191.0,News 7,14263776,14799053,1437813
192.0,News 7 Tamil,0,0,775083
193.0,NEWS 9,10351047,3173286,0
194.0,News Live,15295070,18944078,2222939
195.0,NEWS NATION,34437594,69188735,13311860
196.0,News state Madhya Pradesh/ chhattisgarh,0,0,659651
197.0,NEWS STATE UTTAR PRADESH/UTTRAKHAND,16579580,18803748,4024887
198.0,NEWS TIME AASAM,3540069,4014100,0
199.0,NEWS TIME BANGLA,6140016,7795803,0
200.0,NEWS WORLD INDIA,13665345,11643347,1362853
201.0,News X,12122328,13302711,2102746
202.0,NIKELODEON,4361586,2488487,0
203.0,NORTH EAST LIVE,4833181,6450889,153164
204.0,O TV,25715598,18414953,4399778
205.0,ONKAR ONLY TRUTH,7645218,6504674,0
206.0,Orange TV,0,0,222595
207.0,OSCAR MOVIES BHOJPURI,8815330,9419536,0
208.0,PEPPERS TV,0,669633,0
209.0,Pix,290537,0,0
210.0,POGO,11146831,8401746,91661
212.0,Polimer News,0,0,1492429
213.0,prag channel,12124195,13441419,1795510
214.0,PRARTHANA,92606,1531412,0
215.0,Protidin Time,0,338433,238515
216.0,PTC Chak De,860786,1162616,0
217.0,PTC NEWS,8449786,15249997,3238374
218.0,PTC PUNJABI,9835804,11239489,2063257
219.0,PUBLIC TV,13249607,14488595,1467239
220.0,PUTHIYA THALAIMURAI TV,15425697,19662956,2025970
221.0,Raj Ditigal Plus,0,1760258,0
222.0,RAJ MUSIC KARNATAKA,1282117,1390991,235976
223.0,Raj Musix,1124134,1588489,296935
224.0,RAJ NEWS 24X7,2837565,2640477,0
225.0,Raj News Kannada,1425509,3046511,0
226.0,Raj News Telugu,63295,1043065,0
227.0,RAJ TV,2341906,1917725,631047
228.0,RAMDHENU,4420116,3200351,78900
229.0,Rang,19258587,17718034,1683355
230.0,Rengoni,0,94376,1446016
231.0,REPORTER TV,583478,184239,0
232.0,Republic TV,0,2754985,4679079
233.0,Republic TV Bharat,0,0,7160455
234.0,RPLUS,17116771,17083156,1123915
235.0,RUPASHI BANGLA,967180,1714092,47025
236.0,SAB TV,11042607,8824852,0
237.0,Sadhna Prime News,0,0,321722
238.0,SAHARA ONE,301778,294273,0
239.0,SAHARA SAMAY Bihar/Jharkhand,5750230,5554844,564927
240.0,SAHARA SAMAY MP/Chhattishgarh,10240388,2319417,96854
241.0,SAHARA SAMAY NCR/Haryana/Rajasthan/Punjab,3156698,227863,0
242.0,SAHARA SAMAY UP/Uttarakhand,9412614,2905250,24320
243.0,Sakshi TV,3395747,4077190,0
244.0,Samachar Plus Rajasthan,0,658008,368061
245.0,SAMAY,8314000,3049774,0
246.0,SANDESH NEWS,8903770,10975782,2157937
247.0,Sangeet Bangla,243375,2656595,0
248.0,SANGEET BHOJPURI,1258006,795860,0
249.0,Sangeet Marathi,0,0,348973
250.0,SANSKAR,2766920,2378571,0
251.0,SARTHAK TV,1107962,5381762,2764662
252.0,SATHIYAM TELEVISION,4286291,4570680,0
253.0,Seithigal,4537133,4462002,0
254.0,SET MAX,25002627,7573590,6703532
255.0,Sirippoli,0,1425913,0
256.0,SONIC,0,0,69072
257.0,SONY AATH,27045,0,0
258.0,SONY ENTERTAINMENT TELEVISION,28070910,8034667,0
259.0,SONY MIX,3019056,0,2617190
260.0,Sony Pal,0,3462967,13200586
261.0,SRI SANKARA TV,1532424,132877,0
262.0,STAR GOLD,10811414,3830671,193411
263.0,Star Gold 2,0,3371269,0
265.0,Star India Pvt. Ltd.-Ind-NZ ODI Series 2019,0,2886469,0
266.0,Star India Pvt. Ltd.-Ind-NZ T20 Series 2019,0,1881298,0
267.0,Star India Pvt. Ltd.-Ind-WI T20 Series 2018,0,2974166,0
268.0,Star India Pvt. Ltd.-WI-Ind Sries 2018,0,5132150,0
269.0,STAR JALSHA,6872546,7812465,1071409
270.0,STAR PLUS,50714487,55116635,44946145
271.0,Star Pravah,80542,751726,0
272.0,Star Utsav,868758,0,0
273.0,STAR VIJAY,1284073,11366044,0
274.0,STUDION,86234,0,0
275.0,SUDARSHAN NEWS,11676417,7706897,805647
276.0,SUN MUSIC,113938,901642,0
277.0,Sun News,10411889,14418313,1468020
278.0,SUN TV,37145079,43855937,10318130
279.0,Surya Movies,0,637032,0
280.0,Surya Samachar,0,260820,902941
281.0,SURYA TV,2295133,7284980,0
282.0,Suvarna,68251,5434777,0
283.0,SUVARNA NEWS,20833599,18519304,2436518
284.0,T NEWS,17075202,16950619,2770033
285.0,TAAZA TV,0,0,229647
286.0,Tarang,14633384,18578344,4737440
287.0,Tarang Music,307296,1347733,0
288.0,Tehzeeb,0,0,210743
289.0,Tez,0,1494980,0
290.0,TIMES NOW,505452,989633,0
291.0,TOLLYWOOD,42268,0,0
292.0,Total Haryana,0,407780,0
293.0,TOTAL TV,13512829,13587394,2372489
294.0,TV 100,0,0,304815
295.0,TV 5 TELUGU NEWS,11027780,21212263,2431731
296.0,TV 9 (Gujarati),8974009,16890264,3749062
297.0,TV 9 (Karnataka),12959056,25814048,3307211
298.0,TV 9 - Telugu,15525515,34948949,3304839
299.0,TV 9 Mumbai,12276675,20140002,5026407
300.0,TV5 Kannada,0,0,226985
301.0,UDAYA COMEDY,0,447961,0
302.0,Udaya Movies,777495,1881807,0
303.0,UDAYA MUSIC,988113,1387819,0
304.0,UDAYA NEWS,1897177,4657226,0
305.0,UDAYA TV,13301752,16559735,2299485
306.0,UTV Action,0,3817256,0
307.0,UTV MOVIES,2100458,529920,0
308.0,V6 NEWS CHANNEL,3074444,14609418,544930
309.0,Vanita TV,14125,125615,0
310.0,Vendhar TV,149564,916069,0
311.0,VH1,33721,454319,359756
312.0,Vissa Television,12999,121567,0
313.0,VTV,5835089,9655424,174041
314.0,WE,0,1042132,0
315.0,WIN TV,0,797345,0
316.0,WION (v),0,0,505363
